Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2010-01-04,MMM,58.72541809082031,83.0199966430664,83.44999694824219,82.66999816894531,83.08999633789062,3043700.0
2010-01-05,MMM,58.35759735107422,82.5,83.2300033569336,81.69999694824219,82.80000305175781,2847000.0
2010-01-06,MMM,59.185203552246094,83.66999816894531,84.5999984741211,83.51000213623047,83.87999725341797,5268500.0
2010-01-07,MMM,59.227664947509766,83.7300033569336,83.76000213623047,82.12000274658203,83.31999969482422,4470100.0
2010-01-08,MMM,59.644996643066406,84.31999969482422,84.31999969482422,83.30000305175781,83.69000244140625,3405800.0
2010-01-11,MMM,59.404510498046875,83.9800033569336,84.5999984741211,83.41000366210938,84.37999725341797,2927100.0
2010-01-12,MMM,59.45400619506836,84.05000305175781,84.18000030517578,83.30000305175781,83.58000183105469,3031800.0
2010-01-13,MMM,59.26301956176758,83.77999877929688,84.11000061035156,83.19999694824219,84.11000061035156,3102000.0
2010-01-14,MMM,59.0649528503418,83.5,83.93000030517578,83.41999816894531,83.73999786376953,2634100.0
2010-01-15,MMM,58.97298812866211,83.37000274658203,84.08999633789062,82.87000274658203,83.5199966430664,3955000.0
